err_sentence,cor_sentence,error_point,error_type
공부를 종종 손에 놔버릴떄가 있어요,공부를 종종 손에 놔버릴 때가 있어요.,,
나도 맞추고서 채점하디 보니 이걸 맞춘 내 자신이 신기함,나도 맞추고서 채점하다 보니 이걸 맞힌 나 자신이 신기함.,,
다니는학원에도그학교를 다니는사라미없다.,다니는 학원에도 그 학교를 다니는 사람이 없다.,,
이문재관련 추가 질문임니다.,이 문제 관련 추가 질문입니다.,,
아침먹기전 공부를 해야 그날 공부에 집중이 잘 되더라구요,아침을 먹기 전 공부를 해야 그날 공부에 집중이 잘 되더라고요.,,
이러케풀때 어디서 오류가 생기는건가여?,이렇게 풀 때 어디서 오류가 생기는 건가요?,,
또 오늘 아침부터 일 안하고 고민만 하는 중이에요.,또 오늘 아침부터 일 안 하고 고민만 하는 중이에요.,,
항암 효과인정으로 의도치안게 고구마 소비량이 증가한거 아닌가요?,항암 효과 인정으로 의도치 않게 고구마 소비량이 증가한 것 아닌가요?,,
글구 외워야하는내용인가요?,그리고 외워야 하는 내용인가요?,,
복습할때 넘무넘무불편하고 시간낭비가 큽니다.,복습할 때 너무너무 불편하고 시간 낭비가 큽니다.,,
부도체는걍거의전류가 흐르지안고요.,부도체는 그냥 거의 전류가 흐르지 않고요.,,
신생대 때 태평양이 좁아졌다고는 나와있는데 신생대부터 좁아지기 시작했다고는 안나와있는 것 같습나다!,신생대 때 태평양이 좁아졌다고는 나와있는데 신생대부터 좁아지기 시작했다고는 안 나와있는 것 같습니다.,,
어디까지나 재 개인적인생각이지만요.,어디까지나 제 개인적인 생각이지만요.,,
정시라면수능등급 알려주실수잇으신가요,정시라면 수능 등급 알려주실 수 있으신가요?,,
재가 감히 그 실력에맞는것은 아니다.,제가 감히 그 실력에 맞는 것은 아니다.,,
내가 그럿게 하겠다 하면 다시 그 교수님이랑도 얘기하고 알아봐야 하는 부분인거가타,내가 그렇게 하겠다 하면 다시 그 교수님이랑도 얘기하고 알아봐야 하는 부분인 것 같아.,,
그렇다면 결과적으로는 저항이 발생했을때처럼 그외래문화는해당사회에서지위를 잃게돼나요.,그렇다면 결과적으로는 저항이 발생했을 때처럼 그 외래문화는 해당 사회에서 지위를 잃게 되나요.,,
세대간이동에서 부모와 자녀의 계층이가타고...,세대 간 이동에서 부모와 자녀의 계층이 같다고...,,
연산군 선조는 저랑 생각아 같네요,"연산군, 선조는 저랑 생각이 같네요.",,
차라리 박람회의 가치를 높이기위한건데 저거 그냥 믄자으로 보내줄 수 있어?,차라리 박람회의 가치를 높이기 위한 건데 저거 그냥 문자로 보내줄 수 있어?,,
오답이랑 같이 졍리해야겠네요,오답이랑 같이 정리해야겠네요.,,
금속공학과쪽노리려면 부산대나 경북대가는게맞지,금속공학과 쪽을 노리려면 부산대나 경북대 가는 게 맞지.,,
벼랑끝에 서 있따는 생각으로 해야 한다구 하시더랔,벼랑 끝에 서 있다는 생각으로 해야 한다고 하시더라.,,
쉼표가잇어서 헷갈리니요.,쉼표가 있어서 헷갈리네요.,,
올해 교제를 사기에는 여력이부족해서.,올해 교재를 사기에는 여력이 부족해서.,,
생각햇는데 수능망치고 재수하구있어요.,생각했는데 수능 망치고 재수하고 있어요.,,
이사진의 경우에는 어떡해되는지 궁금해요.,이 사진의 경우에는 어떻게 되는지 궁금해요.,,
새내기떄 꿀팁도 있어요,새내기 때 꿀팁도 있어요.,,
시에서 구절의 범위가어디까지 돼는지모르겠습니다.,시에서 구절의 범위가 어디까지 되는지 모르겠습니다.,,
만약 정한 양을 계획보다 일찍 끝내면 남은시간에 다른 보충할것들 보충 해씁니다.,만약 정한 양을 계획보다 일찍 끝내면 남은 시간에 다른 보충할 것들 보충했습니다.,,
고런경우에는 어떡하면좋을까요?,그런 경우에는 어떡하면 좋을까요?,,
그렇게 풀어도 되구 올해 셤부터 쭉 내려가도 돼요,그렇게 풀어도 되고 올해 시험 부터 쭉 내려가도 돼요.,,
오늘 학회 끋저고과자랑 맥주마시구싶어.,오늘 학회 끝나고 과자랑 맥주 마시고 싶어.,,
치기어린 마음에 선택하는 과목입니다,치기 어린 마음에 선택하는 과목입니다.,,
본과떄를 한의학과라 합니다,본과 때를 한의학과라 합니다.,,
염주는 꿈을 꾸기전 포단에잇엇다,염주는 꿈을 꾸기 전 포단에 있었다.,,
추가적으로 하면 좋을거 말씀해주시면 감사하겠습나다,추가적으로 하면 좋을 거 말씀해 주시면 감사하겠습니다.,,
재대로 일안하면 욕해야져,제대로 일 안 하면 욕해야죠.,,
왜 거짓인지두 이해가 안됩니다,왜 거짓인지도 이해가 안 됩니다.,,
이러케대는이유가 궁금함니다.,이렇게 되는 이유가 궁금합니다.,,
"어떤 흐름으로 푸시는지, 어떡게 접근하시는지 긍금해요!","어떤 흐름으로 푸시는지, 어떻게 접근하시는지 궁금해요!",,
기다리느라 목빠지는줄 알았어욬.,기다리느라 목 빠지는 줄 알았어요.,,
내년에 소셜 미디어도 파고싶어요,내년에 소셜 미디어도 파고 싶어요.,,
세상에 제가 어딜바서 귀엽다는 걸까요,세상에 제가 어딜 봐서 귀엽다는 걸까요?,,
강의에서 선생님이 치라고 하셔서요,강의에서 선생님이 치라고 하셔서요.,,
고냥 일거도 중간에 집중을 노치는경우가있오요.,그냥 읽어도 중간에 집중을 놓치는 경우가 있어요.,,
독학 재수하셨다고 해서 아실 것 가타 여쭤봄미다!,독학 재수하셨다고 해서 아실 것 같아 여쭤봅니다!,,
그러니까 빠르기땜에 온도가 높다온도가 높기땜에빠르다 둘다 성립하나요?,그러니까 빠르기 때문에 온도가 높다 온도가 높기 때문에 빠르다 둘 다 성립하나요?,,
애들한테 저학생 얼굴보이냐구 묻구 그런다.,애들한테 저 학생 얼굴 보이냐고 묻고 그런다.,,
같은 반에서 셤을 봤던 친구는 계속 신경 쓰였다고 했는데 저는 셤에 집중하다보니 생각보다 덜 신경 쓰이더라구요.,같은 반에서 시험을 봤던 친구는 계속 신경 쓰였다고 했는데 저는 시험에 집중하다 보니 생각보다 덜 신경 쓰이더라고요.,,
그리구 점점 더 더워지고 잇다.,그리고 점점 더 더워지고 있다.,,
저도 저렇게 말해면서 별점테러하는 학생 있어서 화났다.,저도 저렇게 말하면서 별점 테러하는 학생 있어서 화났다.,,
역사적인 가치가 있어야하구 목조주택이야하고 보존해서 다른 시설으로 사용하는 사례가 생각보다 없네,역사적인 가치가 있어야 하고 목조주택이어야 하고 보존해서 다른 시설로 사용하는 사례가 생각보다 없네.,,
근데어떡게 저렇게 쓸수잇나요?,근데 어떻게 저렇게 쓸 수 있나요?,,
아니면작년에 변화된 체재가 올해도 동일하나요?,아니면 작년에 변화된 체제가 올해도 동일하나요?,,
근대가치의 뜻은정확히 무엇인가요?,근데 가치의 뜻은 정확히 무엇인가요?,,
여기서그래프가 외 올라가야하나요?,여기서 그래프가 왜 올라가야 하나요?,,
저승 가는 길에 사탕 하나 사먹을게요,저승 가는 길에 사탕 하나 사 먹을게요.,,
진짜... 오는말이 고와야 가는말이 곱다는거 새삼 느낀다...,진짜... 오는 말이 고와야 가는 말이 곱다는 걸 새삼 느낀다...,,
시험범위 분량은 어느정도인가요?,시험범위의 분량은 어느 정도인가요?,,
이런식으로 써내려갔다는건가요,이런 식으로 써 내려갔다는 건가요?,,
아니면 고등학교과정에서는걍 암기하는게 좋나요.,아니면 고등학교 과정에서는 그냥 암기하는 게 좋나요.,,
학기중에 준비헐 수 있는게 나름 꽤 있을걸..?,학기 중에 준비할 수 있는 게 나름 꽤 있을걸?,,
힘이 발생한다는것의의미를 파악을못하겟습니다.,힘이 발생한다는 것의 의미를 파악을 못하겠습니다.,,
틀린건 어떠케 생각하시나요.,틀린 건 어떻게 생각하시나요.,,
그러니까 여기서 외 수선의발을 내리란건지모르게써요.,그러니까 여기서 왜 수선의 발을 내리란 건지 모르겠어요.,,
멘탈 스스로 극복하는법 배웠거든요,멘탈 스스로 극복하는 법 배웠거든요.,,
재가그림을 점많이 못그려요,제가 그림을 좀 많이 못 그려요.,,
늦었지만 너무 좋고 효율노픈 팁이내요.,늦었지만 너무 좋고 효율 높은 팁이네요.,,
기존 정치 재도 바꼐서 여론을 조정하여 활동한다는게무슨의미인가요?,기존 정치 제도 밖에서 여론을 조정하여 활동한다는 게 무슨 의미인가요?,,
햇으면 성리학 아닌가여?,했으면 성리학 아닌가요?,,
근대 그 화학번호로 전화하고 욕하던데요?,근데 그 화학 번호로 전화하고 욕하던데요?,,
근대 전류가 흐를수는 잇다구...,근데 전류가 흐를 수는 있다고...,,
근디 뭔가 불쌍해보이시는데요,근데 뭔가 불쌍해 보이시는데요.,,
새로운 문제룰 만났을떄 어떨지 긴장이 됩니다.,새로운 문제를 만났을 때 어떨지 긴장이 됩니다.,,
내가 그거 모은다구 정말 힘들엇거든.,내가 그거 모은다고 정말 힘들었거든.,,
혹쉬원래 답지가없는 책인가요?,혹시 원래 답지가 없는 책인가요?,,
오늘 진짜 뭐 많이 햇는데 할 것도 그만큼 많이 남음,오늘 진짜 뭐 많이 했는데 할 것도 그만큼 많이 남음.,,
하셨는대 그냥 합리적판단으로 필요에 의해그랬을수두있지안나요.,하셨는데 그냥 합리적 판단으로 필요에 의해 그랬을 수도 있지 않나요.,,
호옥시 내용 수준이어느정두인가요?,혹시 내용 수준이 어느 정도인가요?,,
수시 접수할 떄 상향으로 최저등급이 노픈 학교를 지원하시게 될 수도 있어요,수시 접수할 때 상향으로 최저등급이 높은 학교를 지원하시게 될 수도 있어요.,,
아무래두체계적으로수능까지의학습계획이 짜여 있구 학생은 그거 따르기만하면되는거니까요!,아무래도 체계적으로 수능까지의 학습계획이 짜여 있고 학생은 그걸 따르기만 하면 되는 거니까요!,,
근디 믄재는정답을 댓글로받잖아,근데 문제는 정답을 댓글로 받잖아.,,
제 글솜씨도 제인생도 남한테 큰 울림을줄만큼은 아니라구생각해써요.,제 글솜씨도 제 인생도 남한테 큰 울림을 줄 만큼은 아니라고 생각했어요.,,
이제 걍 새벽애도 잠잠하고 새벽공부하는 분위기 잘 잡혀있어요,이제 그냥 새벽 에도 잠잠하고 새벽 공부하는 분위기 잘 잡혀있어요.,,
그리구 독자적인 세형동검두 이때 만들어졌어,그리고 독자적인 세형 동검도 이때 만들어졌어.,,
선생님 갚자기 저렇게 축을 트는이유를 모르겟어여.,선생님 갑자기 저렇게 축을 트는 이유를 모르겠어요.,,
하셨는대 그러면 가속도가 변하는거 아닌가요?,하셨는데 그러면 가속도가 변하는 것 아닌가요?,,
마스터님 키보니까 한국사선생님 생각나네요.,마스터님 키 보니까 한국사 선생님이 생각나네요.,,
부모의말에 순종적으로 따르는거도자녀의 역할인건가요?,부모의 말에 순종적으로 따르는 것도 자녀의 역할인 건가요?,,
그 악명만큼은 아니고 누구나 감당가능하기 어려워요,그 악명만큼은 아니고 누구나 감당 가능하기 어려워요.,,
파업이일시적이고 예외적인것으로 본다구하셧는데 예외적이라는게 구체적으로 무엇을 뜻하는것인가요?,파업이 일시적이고 예외적인 것으로 본다고 하셨는데 예외적이라는 게 구체적으로 무엇을 뜻하는 것인가요?,,
얘전에 해설강이 한번 들어보긴했어요,예전에 해설강의 한번 들어보긴 했어요.,,
현 상황애서 아예 정시로 돌리는건 어려울까요?,현 상황에서 아예 정시로 돌리는 건 어려울까요?,,
기체는 원자가많아도 에너지 준위가 모두 가튼가요?,기체는 원자가 많아도 에너지 준위가 모두 같은가요?,,
노트애적어둔 문제는 선생님 수준으로 설명을 할 수 있을 정도가 되어야 한다는 것만 기억해주세요,노트에 적어둔 문제는 선생님 수준으로 설명을 할 수 있을 정도가 되어야 한다는 것만 기억해 주세요.,,
연두색 함수가어떡케 그려지는지모르겠습니다.,연두색 함수가 어떻게 그려지는지 모르겠습니다.,,
"햇는데, 이사구과정에오류가인나요?","했는데, 이 사고 과정에 오류가 있나요?",,
좀더자새한설명이랑이러이러하셔서 이렇게생각햇다!,좀 더 자세한 설명이랑 이러이러하셔서 이렇게 생각했다!,,
너 요즘 요가학원다시다니겠다?,너 요즘 요가학원 다시 다니겠다?,,
진도 나가시면서 회독을 함께 하시는게 좋을 것 같습나다!,진도 나가시면서 회독을 함께 하시는 게 좋을 것 같습니다!,,
이러케 구해두맞는거죠?,이렇게 구해도 맞는 거죠?,,
뭐든과하지만 안으면조은것같타요.,뭐든 과하지만 않으면 좋은 것 같아요.,,
연히 힘들구 당연히 아플 스밖에없는 환경이에요,연히 힘들고 당연히 아플 수밖에 없는 환경이에요.,,
선생님 요기에서 빛을 쏘는대신공같은거 던져도 성립하나요?,선생님 여기에서 빛을 쏘는 대신 공 같은 걸 던져도 성립하나요?,,
갚자기 왤케 소거가돼나요?,갑자기 왜 소거가 되나요?,,
거시적 주재와 미시적 주재의구체적인차이점을알수있쓸까요?,거시적 주제와 미시적 주제의 구체적인 차이점을 알 수 있을까요?,,
남에게 집중하는시선을거두고오직 스스로의 성장에만 집중하는거에요!,남에게 집중하는 시선을 거두고 오직 스스로의 성장에만 집중하는 거예요!,,
내신한다고 잠깐 손놓았더니 개념에 구멍이 숭숭남,내신을 한다고 잠깐 손을 놓았더니 개념에 구멍이 숭숭 남.,,
다들 물리의 아름다움을 모르는거가타 슬프운요...,다들 물리의 아름다움을 모르는 거 같아 슬프군요...,,
개강 날짜가 언재인지도모르고 마냥 기다리기만하고잇는데 교재를 미리사서강이를들어야하나요?,개강 날짜가 언제인지도 모르고 마냥 기다리기만 하고 있는데 교재를 미리 사서 강의를 들어야 하나요?,,
공부하는것보다 기츨분석하면서 그떄그때 모르는 감정표현어를 익히는게 낫나요?,공부하는 것보다 기출분석하면서 그때그때 모르는 감정 표현어를 익히는 게 낫나요?,,
결국 저는 미적을 선택을 했는데여전히 미적 문재가잘풀리지않습니다.,결국 저는 미적을 선택을 했는데 여전히 미적 문제가 잘 풀리지 않습니다.,,
백재가 왤케에 끼친 영향이 이미 수업한내용인가요?,백제가 왜에 끼친 영향이 이미 수업한 내용인가요?,,
개념공부 열심히 하겠습나다!,개념 공부 열심히 하겠습니다!,,
오늘 콘텐츠는 막 심화내용은 아니더라도 알아두면 팁이될만한내용들이니 꼼꼼히 확인하구 넘어가시길바랍니다,오늘 콘텐츠는 막 심화 내용은 아니더라도 알아두면 팁이 될만한 내용들이니 꼼꼼히 확인하고 넘어가시길 바랍니다.,,
안싸우는게 이기는거 다들 아시고 다들 여기서 많이 보셨잖아요,안 싸우는 게 이기는 거 다들 아시고 다들 여기서 많이 보셨잖아요.,,
안들어온지 쫌 되니까 안보요,안 들어온 지 좀 되니까 안 봐요.,,
펜이 기본 구성으로 있어요,펜이 기본 구성으로 있어요.,,
한칸 남기고 안들어가는디요,한 칸 남기고 안 들어가는데요.,,
선생님의 강이가 조금 어렵다는 평이 있어 제가 헐 수 있을 지 걱정이 됩니다.,선생님의 강의가 조금 어렵다는 평이 있어 제가 할 수 있을지 걱정이 됩니다.,,
"이렇게 하다보면 어느 순간부터는 내가 얼만큼 할 수 있는지, 과목마다 얼만큼의 시간이 소요되는지 눈에 보이는 떄가 올 거에요","이렇게 하다 보면 어느 순간부터는 내가 얼마큼 할 수 있는지, 과목마다 얼만큼의 시간이 소요되는지 눈에 보이는 때가 올 거예요.",,
아니면 새로바뀐 강의로 기존 교재를 스면서 듣는데나을까요.,아니면 새로 바뀐 강의로 기존 교재를 쓰면서 듣는데 나을까요.,,
제 성적으로수학을 반수로 한다는건 오만하구불가능하다고...,제 성적으로 수학을 반수로 한다는 건 오만하고 불가능하다고...,,
친구를 만났는데 점수가 나보다 높은거야,친구를 만났는데 점수가 나보다 높은 거야.,,
진화론은사회 변동에일정한방향이있따구...,진화론은 사회 변동에 일정한 방향이 있다고...,,
중학교때는 흐지부지 외우다가 고등학교올라와서 제대로 단어를 외우구잇는데요.,중학교 때는 흐지부지 외우다가 고등학교 올라와서 제대로 단어를 외우고 있는데요.,,
이부분이 매우 햇갈립니다.,이 부분이 매우 헷갈립니다.,,
코로나도 진정되서 갈수있는 상황된다.,코로나도 진정돼서 갈 수 있는 상황 된다.,,
첨부됀 이미지를 봐주새요.,첨부된 이미지를 봐주세요.,,
되어잇는데 선생님이 따로 언급하신 강이가잇을까요?,되어 있는데 선생님이 따로 언급하신 강의가 있을까요?,,
투자자금이 해외으로 빠져 나가면 통화량이 줄어들지 안나요?,투자 자금이 해외로 빠져나가면 통화량이 줄어들지 않나요?,,
얼마만큼의 븐량을어떻게 소화하셨었는지엿쭤바도될가요?,얼마만큼의 분량을 어떻게 소화하셨었는지 여쭤봐도 될까요?,,
특히 문법은사설이나 다른 교재 보시지마시구 평가원기출만보새요.,특히 문법은 사설이나 다른 교재 보시지 마시고 평가원 기출만 보세요.,,
똑같은 지문을 또 보는 것은 지양하는게 좋을까요?,똑같은 지문을 또 보는 것은 지양하는 게 좋을까요?,,
가족 구성원간의 갈등을 평등한가족 관계의 확산으로해결할수잇다고...,가족 구성원 간의 갈등을 평등한 가족 관계의 확산으로 해결할 수 있다고...,,
어제 심심하고 볼 거 없어서 인강을 보는 기적을 맛 보았씁니다,어제 심심하고 볼 거 없어서 인강을 보는 기적을 맛보았습니다.,,
가끔 강의수강 전부터 갖고있던 독해 습관과 강의에서 요구하는 행동영역들이상충돼는경우가있씁니다.,가끔 강의 수강 전부터 갖고 있던 독해 습관과 강의에서 요구하는 행동영역들이 상충되는 경우가 있습니다.,,
결국 이겨낼 우리니까 늘 열심히 살자구요,결국 이겨낼 우리니까 늘 열심히 살자고요.,,
"평소보다 발음 등 실수가 쫌 있는데, 다음 영상에서는 그러지 않도록 주의할게요","평소보다 발음 등 실수가 좀 있는데, 다음 영상에서는 그러지 않도록 주의할게요.",,
부족한글 바주셔서감사합니닷!,부족한 글 봐주셔서 감사합니다!,,
저는 복습할떄는 새로 지문 뽑아서 풀었어요.,저는 복습할 때는 새로 지문을 뽑아서 풀었어요.,,
이재 거의개념이 끗나서 기출을 풀면서같이 병행하고잇는데 푸는시간이부족함미다.,이제 거의 개념이 끝나서 기출을 풀면서 같이 병행하고 있는데 푸는 시간이 부족합니다.,,
반드시 끝내주셔야 될거 같습나다.,반드시 끝내주셔야 될 거 같습니다.,,
외더 증가한다구 느껴요?,왜 더 증가한다고 느껴요?,,
거부햇는데도 문화 변동이라구 할수잇나요?,거부했는데도 문화 변동이라고 할 수 있나요?,,
그리구 어떻개 극복해야됄까요?,그리고 어떻게 극복해야 될까요?,,
문재푸는순서를 말해주셰요,문제 푸는 순서를 말해주세요.,,
문제 풀고 듣는건 하는대 제 풀이를 지우면서 해왔어요,"문제를 풀고 듣는 건 하는데, 문제 풀이를 지우면서 해왔어요.",,
지금 보니 타사 언급해서 놀라신게 아니었군요!,지금 보니 타사 언급해서 놀라신 게 아니었군요!,,
우리학교 총학생회가 등록금 깎아보려고 학교랑 회의하고잇던데요.,우리 학교 총학생회가 등록금 깎아보려고 학교랑 회의하고 있던데요.,,
플래너 쓰면 뭔가 이쁘게 써야할 것 같아 달력에다가 오늘 할 일만 적어 놓는데 상관 없겠죵?,플래너를 쓰면 뭔가 이쁘게 써야 할 것 같아서 달력에다가 오늘 할 일만 적어 놓는데 상관없겠죠?,,
이때는 시간압박을 느끼지 않고 기출을 풀며 글 읽는 법을 체화하는 게 조타고 생각했거든요.,이때는 시간 압박을 느끼지 않고 기출을 풀며 글 읽는 법을 체화하는 게 좋다고 생각했거든요.,,
둘중에 뭐가더 우선이되야할까요?,둘 중에 뭐가 더 우선이 돼야 할까요?,,
청유문은 상대방에게 어떤일을함께하기를 요청하는문잔이다,청유문은 상대방에게 어떤 일을 함께 하기를 요청하는 문장이다.,,
백신이 몇년후나 나중에 부작용으으로 인간을 죽이게됀다면요,백신이 몇 년 후나 나중에 부작용으로 인간을 죽이게 된다면요?,,
솔직히 학원 선생님보단 인터넷 강의가 훨씬더 좋은것가타서 고민입니다,솔직히 학원 선생님보단 인터넷 강의가 훨씬 더 좋은것 같아서 고민입니다.,,
이 문장에서 변형정도는 철근이 가튼 길이로 압축되어도 그만큼 지름이 덜 늘어날수 있다는 해석이 거능할것 같습니다.,이 문장에서 변형 정도는 철근이 같은 길이로 압축되어도 그만큼 지름이 덜 늘어날 수 있다는 해석이 가능할 것 같습니다.,,
돈이 부족하면 이런분들은 과외하면 그만일텐데... 참 생각없네요,돈이 부족하면 이런 분들은 과외하면 그만일 텐데... 참 생각이 없네요.,,
믄론 기숙사 떨어지면 또 통학이지만...,물론 기숙사 떨어지면 또 통학이지만...,,
작년에 재수를해서 현재 재학중인학교에 왔지만아쉬움이나와 반수를시작하려고함니다.,작년에 재수를 해서 현재 재학 중인 학교에 왔지만 아쉬움이 나와 반수를 시작하려고 합니다.,,
요기서 비례는정비례만해당인가요?,여기서 비례는 정비례만 해당인가요?,,
사설문재집은 필수인것같습나다,사설 문제집은 필수인 것 같습니다.,,
내신떄 옴청 열시미했는데 하나도 기억안나네요.,내신 때 엄청 열심히 했는데 하나도 기억 안 나네요.,,
진짜 죄송한데 말 한번만 쌔게 할게요.,진짜 죄송한데 말 한 번만 세게 할게요.,,
모르는단어가나오면 극어사전을 찾아보시면좋씁니다,모르는 단어가 나오면 국어사전을 찾아보시면 좋습니다.,,
현역 재수기간에 선생님강이듣던 군인입니다.,현역 재수 기간에 선생님 강의 듣던 군인입니다.,,
"주간지 환불을 진행하구싶은데, 어떡케해야하는지모르겠습니다.","주간지 환불을 진행하고 싶은데, 어떻게 해야 하는지 모르겠습니다.",,
외 줄의 각이커지면 줄에 걸린 힘이작아지고 줄의 각이작아지면 줄에 걸린 힘이커지는지 잘모르겠습니다.,왜 줄의 각이 커지면 줄에 걸린 힘이 작아지고 줄의 각이 작아지면 줄에 걸린 힘이 커지는지 잘 모르겠습니다.,,
그니까 요기서말하구싶은게 대장균도 인간과 가튼복사 체계가있늕데 거기에 사람의 인슐린 유전자를 넣었더니 대장균이 유전자를 번역해서인슐린을생성햇다!,그니까 여기서 말하고 싶은 게 대장균도 인간과 같은 복사 체계가 있는데 거기에 사람의 인슐린 유전자를 넣었더니 대장균이 유전자를 번역해서 인슐린을 생성했다!,,
잘 가셔서 내년에 뵙길 바래요,잘 가셔서 내년에 뵙길 바라요.,,
역시 핸드폰은 불끄고 침대에 누워서 해야죠,역시 핸드폰은 불 끄고 침대에 누워서 해야죠.,,
술을 의인화해서 표현햇음을 확인헐수있따.,술을 의인화해서 표현했음을 확인할 수 있다.,,
저녁에는 이것저것허다보면 시간이 너무 없어서요,저녁에는 이것저것 하다 보면 시간이 너무 없어서요.,,
개인적으로 정말 대단히다고 생각합니다,개인적으로 정말 대단하다고 생각합니다.,,
과탐 전과목이라면 아마도 과목별이 좋을것가타요!,과탐 전 과목이라면 아마도 과목별이 좋을 것 같아요!,,
끝날 떄까지 자만하지 말구 꾸주니 공부하셔야 해요.,끝날 때까지 자만하지 말고 꾸준히 공부하셔야 해요.,,
